/Users/AC/.embeddings/glove/wikipedia_gigaword.zip
100%|███████████████████████████████████████████████████| 400000/400000 [00:11<00:00, 34855.13it/s]
missing pre-trained embedding for 55 unknown words
Initializing model...
Epoch: 1/250, loss: 313.11749690808557, train accuracy: 0.5177777777777778
Epoch: 2/250, loss: 312.77721337870196, train accuracy: 0.5111111111111111
Epoch: 3/250, loss: 313.16419453762313, train accuracy: 0.5155555555555555
Epoch: 4/250, loss: 312.6907491136269, train accuracy: 0.5066666666666667
Epoch: 5/250, loss: 313.32751239785694, train accuracy: 0.5066666666666667
Epoch: 6/250, loss: 312.9363577951915, train accuracy: 0.5022222222222222
Epoch: 7/250, loss: 312.9086757671028, train accuracy: 0.5066666666666667
Epoch: 8/250, loss: 312.67318346108493, train accuracy: 0.5311111111111111
Epoch: 9/250, loss: 313.09819345848547, train accuracy: 0.5022222222222222
Epoch: 10/250, loss: 313.42116341934207, train accuracy: 0.5044444444444445
Epoch: 11/250, loss: 313.48513258802024, train accuracy: 0.49333333333333335
Epoch: 12/250, loss: 312.7296512262145, train accuracy: 0.5155555555555555
Epoch: 13/250, loss: 312.7691364953565, train accuracy: 0.49777777777777776
Epoch: 14/250, loss: 313.8640658447364, train accuracy: 0.5111111111111111
Epoch: 15/250, loss: 312.67519227432877, train accuracy: 0.5111111111111111
Epoch: 16/250, loss: 312.5819033172859, train accuracy: 0.5155555555555555
Epoch: 17/250, loss: 312.58318936526103, train accuracy: 0.5155555555555555
Epoch: 18/250, loss: 313.34002125307165, train accuracy: 0.49333333333333335
Epoch: 19/250, loss: 314.0571714746438, train accuracy: 0.5222222222222223
Epoch: 20/250, loss: 313.23617039278156, train accuracy: 0.5044444444444445
Epoch: 21/250, loss: 312.9709995199068, train accuracy: 0.4888888888888889
Epoch: 22/250, loss: 312.75773511080376, train accuracy: 0.5066666666666667
Epoch: 23/250, loss: 312.9558270515571, train accuracy: 0.5222222222222223
Epoch: 24/250, loss: 312.53816411133397, train accuracy: 0.5333333333333333
Epoch: 25/250, loss: 313.0599044244205, train accuracy: 0.49333333333333335
Epoch: 26/250, loss: 312.4442371331125, train accuracy: 0.4911111111111111
Epoch: 27/250, loss: 312.908226130189, train accuracy: 0.5355555555555556
Epoch: 28/250, loss: 313.1386973730498, train accuracy: 0.5266666666666666
Epoch: 29/250, loss: 313.04883179051984, train accuracy: 0.5311111111111111
Epoch: 30/250, loss: 313.76436843844465, train accuracy: 0.5133333333333333
Epoch: 31/250, loss: 313.4201862629613, train accuracy: 0.4955555555555556
Epoch: 32/250, loss: 312.9652664737077, train accuracy: 0.5177777777777778
Epoch: 33/250, loss: 313.0689037211928, train accuracy: 0.4888888888888889
Epoch: 34/250, loss: 312.57183635660334, train accuracy: 0.49333333333333335
Epoch: 35/250, loss: 313.02741744501657, train accuracy: 0.5288888888888889
Epoch: 36/250, loss: 313.48578214161756, train accuracy: 0.5288888888888889
Epoch: 37/250, loss: 312.22578239247076, train accuracy: 0.5044444444444445
Epoch: 38/250, loss: 313.1218222845012, train accuracy: 0.5333333333333333
Epoch: 39/250, loss: 313.4920777874983, train accuracy: 0.48444444444444446
Epoch: 40/250, loss: 312.2422015183235, train accuracy: 0.5088888888888888
Epoch: 41/250, loss: 312.8630543112813, train accuracy: 0.5244444444444445
Epoch: 42/250, loss: 313.0793774110493, train accuracy: 0.52
Epoch: 43/250, loss: 312.7272542695892, train accuracy: 0.49777777777777776
Epoch: 44/250, loss: 313.207460672723, train accuracy: 0.4955555555555556
Epoch: 45/250, loss: 313.2719048840327, train accuracy: 0.52
Epoch: 46/250, loss: 312.6539763950565, train accuracy: 0.4777777777777778
Epoch: 47/250, loss: 313.277152096845, train accuracy: 0.4777777777777778
Epoch: 48/250, loss: 313.1853678630163, train accuracy: 0.48444444444444446
Epoch: 49/250, loss: 313.09766431642413, train accuracy: 0.4888888888888889
Epoch: 50/250, loss: 312.96533417710464, train accuracy: 0.5
Epoch: 51/250, loss: 313.80632552207777, train accuracy: 0.5177777777777778
Epoch: 52/250, loss: 312.8761006375221, train accuracy: 0.5111111111111111
Epoch: 53/250, loss: 313.7353812906503, train accuracy: 0.5111111111111111
Epoch: 54/250, loss: 312.9397029704636, train accuracy: 0.5
Epoch: 55/250, loss: 313.6470446253968, train accuracy: 0.5333333333333333
Epoch: 56/250, loss: 313.05454270021306, train accuracy: 0.4955555555555556
Epoch: 57/250, loss: 313.2450795001778, train accuracy: 0.4911111111111111
Epoch: 58/250, loss: 313.6009757468371, train accuracy: 0.47333333333333333
Epoch: 59/250, loss: 312.98456033694515, train accuracy: 0.5111111111111111
Epoch: 60/250, loss: 312.94198717602876, train accuracy: 0.5066666666666667
Epoch: 61/250, loss: 313.1204502326105, train accuracy: 0.49777777777777776
Epoch: 62/250, loss: 313.15672336955123, train accuracy: 0.4911111111111111
Epoch: 63/250, loss: 312.31225622017485, train accuracy: 0.49777777777777776
Epoch: 64/250, loss: 313.1108586408993, train accuracy: 0.49333333333333335
Epoch: 65/250, loss: 312.84437948076084, train accuracy: 0.5155555555555555
Epoch: 66/250, loss: 313.5801157250989, train accuracy: 0.5022222222222222
Epoch: 67/250, loss: 312.7465224818085, train accuracy: 0.5222222222222223
Epoch: 68/250, loss: 313.2697432238962, train accuracy: 0.5377777777777778
Epoch: 69/250, loss: 312.61858848610285, train accuracy: 0.4955555555555556
Epoch: 70/250, loss: 313.2445064581041, train accuracy: 0.52
Epoch: 71/250, loss: 312.4017569008489, train accuracy: 0.4866666666666667
Epoch: 72/250, loss: 312.68643286389585, train accuracy: 0.5
Epoch: 73/250, loss: 312.88784592333354, train accuracy: 0.5333333333333333
Epoch: 74/250, loss: 312.81730773437255, train accuracy: 0.5022222222222222
Epoch: 75/250, loss: 312.80565905163013, train accuracy: 0.4688888888888889
Epoch: 76/250, loss: 312.9201267590948, train accuracy: 0.5155555555555555
Epoch: 77/250, loss: 313.28107784068584, train accuracy: 0.4888888888888889
Epoch: 78/250, loss: 312.8466081393048, train accuracy: 0.5066666666666667
Epoch: 79/250, loss: 313.14007858333304, train accuracy: 0.49777777777777776
Epoch: 80/250, loss: 312.8417133630409, train accuracy: 0.5022222222222222
